account_id,assists,avatar,avatarfull,avatarmedium,cheese,country_code,deaths,denies,fantasy_role,fh_unavailable,full_history_time,gold_per_min,is_locked,is_pro,kda,kills,last_hits,last_login,last_match_time,loccountrycode,locked_until,main_role,name,personaname,profileurl,steamid,team_id,team_name,team_tag,xp_per_min
3916428,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/63/63c0016475553dcf5d1cca471327913a980f1f8e.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/63/63c0016475553dcf5d1cca471327913a980f1f8e_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/63/63c0016475553dcf5d1cca471327913a980f1f8e_medium.jpg,0.0,se,,,2,True,2017-03-23T16:02:13.727Z,,True,True,,,,,2017-06-27T18:05:59.000Z,,1502694000,,EGM,´old m8 jerjer,http://steamcommunity.com/profiles/76561197964182156/,76561197964182156,4328182,Crescendo,Crescendo,
3940262,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/da/da0ec8e60f4d9bbb4a19f27f356e2b7c513956fb.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/da/da0ec8e60f4d9bbb4a19f27f356e2b7c513956fb_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/da/da0ec8e60f4d9bbb4a19f27f356e2b7c513956fb_medium.jpg,0.0,kr,,,1,,,,False,True,,,,,2017-07-22T10:51:32.000Z,,1457344800,,Navy.March,Navy.March,http://steamcommunity.com/id/March8/,76561197964205990,0,MVP Phoenix,MVP,
4281729,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/11/11a4bded65c941ecafed6c3ee71030673e857756.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/11/11a4bded65c941ecafed6c3ee71030673e857756_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/11/11a4bded65c941ecafed6c3ee71030673e857756_medium.jpg,0.0,dk,,,1,,,,True,True,,,,,2017-07-28T23:29:34.000Z,DK,1502694000,,syndereN,syndereN,http://steamcommunity.com/profiles/76561197964547457/,76561197964547457,4328182,Crescendo,Crescendo,
5150808,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/01/01e6e09f3edd273ba5a43883277022091dc474c4.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/01/01e6e09f3edd273ba5a43883277022091dc474c4_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/01/01e6e09f3edd273ba5a43883277022091dc474c4_medium.jpg,0.0,,,,1,True,2017-07-02T08:03:20.236Z,,True,True,,,,,2017-07-18T19:22:59.000Z,,1502694000,,fn,watanabe,http://steamcommunity.com/id/he110dota/,76561197965416536,46,Team Empire,Empire,
5390881,,,,,,gb,,,2,,,,False,True,,,,,,,0,,Cyborgmatt,,,,1838315,Team Secret,Secret,
5448108,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c5/c5b75506e6f65ab41095ed4bc70314e467d74ce0.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c5/c5b75506e6f65ab41095ed4bc70314e467d74ce0_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c5/c5b75506e6f65ab41095ed4bc70314e467d74ce0_medium.jpg,0.0,us,,,2,False,2017-02-26T10:33:42.853Z,,False,True,,,,,2017-07-24T21:37:45.000Z,,1471168800,,Fogged,F-Dog,http://steamcommunity.com/profiles/76561197965713836/,76561197965713836,4562387,FILLER PICK,FP,
5571849,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/91/91a300268a064f3310dc9c3c9604f3d15031cc73.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/91/91a300268a064f3310dc9c3c9604f3d15031cc73_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/91/91a300268a064f3310dc9c3c9604f3d15031cc73_medium.jpg,0.0,us,,,2,,,,False,True,,,,,,US,1481500800,,Hawaiin Fire!!,Sealion,http://steamcommunity.com/id/Dotaplayer808123/,76561197965837577,1276923,Leviathan',LvT,
6103402,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c6/c6ec8e8e453e99b1441ffc376259c8aa077748c3.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c6/c6ec8e8e453e99b1441ffc376259c8aa077748c3_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c6/c6ec8e8e453e99b1441ffc376259c8aa077748c3_medium.jpg,0.0,dk,,,2,False,2016-02-05T11:24:17.449Z,,False,True,,,,2016-09-05T10:27:51.708Z,2017-07-15T15:34:04.000Z,DK,1471168800,,solen,solen,http://steamcommunity.com/profiles/76561197966369130/,76561197966369130,4541043,Rocket Scientists,RSc,
6922000,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/7f/7f9d32217087e28371b2d75dc4d9256ad8abc1b2.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/7f/7f9d32217087e28371b2d75dc4d9256ad8abc1b2_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/7f/7f9d32217087e28371b2d75dc4d9256ad8abc1b2_medium.jpg,0.0,se,,,2,True,2017-02-22T08:57:24.405Z,,True,True,,,,2015-10-02T15:29:33.590Z,2017-06-28T06:29:48.000Z,,1502694000,,PieLieDie,small retarded fish,http://steamcommunity.com/profiles/76561197967187728/,76561197967187728,1333179,Cloud9,C9,
8363146,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/00/0007893c36871c31bb4626baf4c881801d195a30.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/00/0007893c36871c31bb4626baf4c881801d195a30_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/00/0007893c36871c31bb4626baf4c881801d195a30_medium.jpg,0.0,,,,2,False,2017-07-18T21:52:00.255Z,,False,True,,,,2015-03-24T01:16:44.748Z,2017-07-14T23:20:31.000Z,,0,,137,none,http://steamcommunity.com/profiles/76561197968628874/,76561197968628874,4763816,Netflix & Chill,N&C,
